wals code,name,value,description,latitude,longitude,genus,family,area
ani,//Ani,1,Present,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Simple Clauses
abi,Abipón,2,Absent,-29,-61,Abipon,Guaicuruan,Simple Clauses
abk,Abkhaz,2,Absent,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Simple Clauses
abu,Abun,2,Absent,-0.5,132.5,Abun,Abun,Simple Clauses
ace,Acehnese,2,Absent,5.5,95.5,Malayo-Sumbawan,Austronesian,Simple Clauses
acm,Achumawi,2,Absent,41.5,-121,Achumawi,Hokan,Simple Clauses
aco,Acoma,2,Absent,34.91666667,-107.5833333,Keresan,Keresan,Simple Clauses
adz,Adzera,2,Absent,-6.25,146.25,Oceanic,Austronesian,Simple Clauses
ain,Ainu,1,Present,43,143,Ainu,Ainu,Simple Clauses
ala,Alamblak,2,Absent,-4.666666667,143.3333333,Sepik Hill,Sepik,Simple Clauses
alb,Albanian,1,Present,41,20,Albanian,Indo-European,Simple Clauses
ame,Amele,2,Absent,-5.25,145.5833333,Mabuso,Trans-New Guinea,Simple Clauses
amh,Amharic,1,Present,10,38,Semitic,Afro-Asiatic,Simple Clauses
amu,Amuesha,1,Present,-10.5,-75.41666667,Yanesha',Arawakan,Simple Clauses
anj,Anejom,2,Absent,-20.2,169.8,Oceanic,Austronesian,Simple Clauses
ane,Anêm,2,Absent,-5.583333333,149.0833333,Anêm,Anêm,Simple Clauses
apu,Apurinã,1,Present,-9,-67,Purus,Arawakan,Simple Clauses
abn,Arabana,2,Absent,-28.25,136.25,Central Pama-Nyungan,Pama-Nyungan,Simple Clauses
aeg,Arabic (Egyptian),1,Present,30,31,Semitic,Afro-Asiatic,Simple Clauses
ana,Araona,1,Present,-12.33333333,-67.75,Tacanan,Pano-Tacanan,Simple Clauses
arp,Arapesh (Mountain),2,Absent,-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Simple Clauses
arm,Armenian (Eastern),1,Present,40,45,Armenian,Indo-European,Simple Clauses
asm,Asmat,2,Absent,-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Simple Clauses
atk,Atakapa,2,Absent,30,-93.5,Atakapa,Atakapa,Simple Clauses
ata,Atayal,2,Absent,24.5,121.3333333,Atayalic,Austronesian,Simple Clauses
au,Au,2,Absent,-3.583333333,142.0833333,Central Wapei,Torricelli,Simple Clauses
awp,Awa Pit,2,Absent,1.5,-78.25,Barbacoan,Barbacoan,Simple Clauses
awt,Awtuw,2,Absent,-3.583333333,142,Ram,Sepik,Simple Clauses
aym,Aymara (Central),1,Present,-17,-69,Aymaran,Aymaran,Simple Clauses
bab,Babungo,2,Absent,6.116666667,10.41666667,Wide Grassfields,Niger-Congo,Simple Clauses
bag,Bagirmi,2,Absent,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Simple Clauses
bam,Bambara,2,Absent,12.5,-7.5,Western Mande,Mande,Simple Clauses
bnj,Bandjalang,2,Absent,-28.75,153,Southeastern Pama-Nyungan,Pama-Nyungan,Simple Clauses
baa,Barai,2,Absent,-9.333333333,148.0833333,Koiarian,Trans-New Guinea,Simple Clauses
brs,Barasano,2,Absent,-0.166666667,-70.66666667,Tucanoan,Tucanoan,Simple Clauses
bar,Bari,1,Present,5,31.66666667,Eastern Nilotic,Eastern Sudanic,Simple Clauses
bsq,Basque,1,Present,43,-3,Basque,Basque,Simple Clauses
bkr,Batak (Karo),2,Absent,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,Simple Clauses
baw,Bawm,2,Absent,22.5,92.25,Kuki-Chin,Sino-Tibetan,Simple Clauses
bej,Beja,1,Present,18,36,Beja,Afro-Asiatic,Simple Clauses
bma,Berber (Middle Atlas),1,Present,33,-5,Berber,Afro-Asiatic,Simple Clauses
ber,Berta,1,Present,10.33333333,34.66666667,Berta,Berta,Simple Clauses
bln,Bilin,1,Present,15.75,38.5,Central Cushitic,Afro-Asiatic,Simple Clauses
brr,Bororo,1,Present,-16,-57,Bororoan,Bororoan,Simple Clauses
brh,Brahui,2,Absent,28.5,67,Dravidian,Dravidian,Simple Clauses
bri,Bribri,2,Absent,9.416666667,-83,Western Isthmic Chibchan,Chibchan,Simple Clauses
bro,Broken,2,Absent,-10.16666667,143,Creoles and Pidgins,other,Simple Clauses
brm,Burmese,2,Absent,21,96,Burmese-Lolo,Sino-Tibetan,Simple Clauses
brn,Burunge,2,Absent,-5.333333333,36,Southern Cushitic,Afro-Asiatic,Simple Clauses
bur,Burushaski,1,Present,36.5,74.5,Burushaski,Burushaski,Simple Clauses
bya,Byansi,2,Absent,30.16666667,80.5,Bodic,Sino-Tibetan,Simple Clauses
cah,Cahuilla,2,Absent,33.5,-116.25,Northern Uto-Aztecan,Uto-Aztecan,Simple Clauses
cax,Campa (Axininca),2,Absent,-12,-74,Pre-Andine Arawakan,Arawakan,Simple Clauses
can,Candoshi,2,Absent,-4.166666667,-77,Candoshi,Candoshi,Simple Clauses
cnl,Canela,2,Absent,-7,-45,Je Setentrional,Macro-Ge,Simple Clauses
cap,Capanahua,2,Absent,-7,-74,Panoan,Pano-Tacanan,Simple Clauses
car,Carib,1,Present,5.5,-56,Cariban,Cariban,Simple Clauses
cav,Cavineña,2,Absent,-13.33333333,-66.5,Tacanan,Pano-Tacanan,Simple Clauses
cyv,Cayuvava,1,Present,-13.5,-65.5,Cayuvava,Cayuvava,Simple Clauses
cha,Chamorro,1,Present,13.45,144.75,Chamorro,Austronesian,Simple Clauses
cpn,Chepang,2,Absent,27.66666667,84.75,Himalayish,Sino-Tibetan,Simple Clauses
cle,Chinantec (Lealao),1,Present,17.33333333,-95.91666667,Chinantecan,Oto-Manguean,Simple Clauses
ckl,Chinook (Lower),2,Absent,46.25,-123.5,Chinookan,Penutian,Simple Clauses
chr,Chrau,2,Absent,10.75,107.5,Bahnaric,Austro-Asiatic,Simple Clauses
chk,Chukchi,2,Absent,67,-173,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Simple Clauses
cba,Chumash (Barbareño),2,Absent,34.5,-120.25,Chumash,Chumash,Simple Clauses
cbo,Chácobo,2,Absent,-12.16666667,-66.75,Panoan,Pano-Tacanan,Simple Clauses
cmn,Comanche,1,Present,33.5,-101.5,Northern Uto-Aztecan,Uto-Aztecan,Simple Clauses
cmx,Comox,1,Present,50.16666667,-125,Central Salish,Salishan,Simple Clauses
coo,Coos (Hanis),1,Present,43.5,-124.1666667,Coosan,Oregon Coast,Simple Clauses
cop,Coptic,1,Present,26,32,Egyptian-Coptic,Afro-Asiatic,Simple Clauses
cor,Cora,1,Present,22.16666667,-104.8333333,Corachol,Uto-Aztecan,Simple Clauses
cre,Cree (Plains),2,Absent,54,-110,Algonquian,Algic,Simple Clauses
cri,Crimean Tatar,1,Present,45,34.08333333,Turkic,Altaic,Simple Clauses
cub,Cubeo,1,Present,1.333333333,-70.5,Tucanoan,Tucanoan,Simple Clauses
dag,Daga,2,Absent,-10,149.3333333,Dagan,Trans-New Guinea,Simple Clauses
dga,Dagaare,2,Absent,10.5,-2.666666667,Oti-Volta,Niger-Congo,Simple Clauses
dgr,Dagur,1,Present,48,124,Mongolic,Altaic,Simple Clauses
dni,Dani (Lower Grand Valley),2,Absent,-4.333333333,138.8333333,Dani,Trans-New Guinea,Simple Clauses
dio,Diola-Fogny,1,Present,13,-16.25,Jola,Niger-Congo,Simple Clauses
diz,Dizi,1,Present,6.166666667,36.5,Dizoid,Afro-Asiatic,Simple Clauses
don,Dong (Southern),1,Present,27,109,Kam-Tai,Tai-Kadai,Simple Clauses
doy,Doyayo,1,Present,8.666666667,13.08333333,Samba-Duru,Niger-Congo,Simple Clauses
dre,Drehu,1,Present,-21,167.25,Oceanic,Austronesian,Simple Clauses
dum,Dumo,2,Absent,-2.683333333,141.3,Western Skou,Skou,Simple Clauses
dut,Dutch,1,Present,52.5,6,Germanic,Indo-European,Simple Clauses
eka,Ekari,2,Absent,-3.833333333,135.5,Paniai Lakes,Trans-New Guinea,Simple Clauses
eng,English,1,Present,52,0,Germanic,Indo-European,Simple Clauses
epe,Epena Pedee,2,Absent,3,-77,Choco,Choco,Simple Clauses
err,Erromangan,2,Absent,-18.83333333,169.1666667,Oceanic,Austronesian,Simple Clauses
eve,Evenki,1,Present,56,125,Tungusic,Altaic,Simple Clauses
ewe,Ewe,2,Absent,6.333333333,0.416666667,Gbe,Niger-Congo,Simple Clauses
fij,Fijian,1,Present,-17.83333333,178,Oceanic,Austronesian,Simple Clauses
fin,Finnish,1,Present,62,25,Finnic,Uralic,Simple Clauses
fre,French,1,Present,48,2,Romance,Indo-European,Simple Clauses
fua,Fulfulde (Adamawa),1,Present,9.166666667,13.5,Peul-Serer,Niger-Congo,Simple Clauses
fur,Fur,1,Present,13.5,25,Fur,Fur,Simple Clauses
gar,Garo,2,Absent,25.66666667,90.5,Brahmaputran,Sino-Tibetan,Simple Clauses
geo,Georgian,1,Present,42,44,Kartvelian,Kartvelian,Simple Clauses
ger,German,1,Present,52,10,Germanic,Indo-European,Simple Clauses
god,Godoberi,2,Absent,42.66666667,46.08333333,Avar-Andic-Tsezic,Nakh-Daghestanian,Simple Clauses
goo,Gooniyandi,2,Absent,-18.33333333,126.3333333,Bunuban,Bunuban,Simple Clauses
grb,Grebo,1,Present,5,-8,Kru,Niger-Congo,Simple Clauses
grk,Greek (Modern),1,Present,39,22,Greek,Indo-European,Simple Clauses
grw,Greenlandic (West),1,Present,64,-51,Eskimo,Eskimo-Aleut,Simple Clauses
gua,Guaraní,2,Absent,-26,-56,Maweti-Guarani,Tupian,Simple Clauses
gud,Gude,2,Absent,10.41666667,13.41666667,Biu-Mandara,Afro-Asiatic,Simple Clauses
gmw,Gumawana,2,Absent,-9.25,150.8333333,Oceanic,Austronesian,Simple Clauses
guu,Guugu Yimidhirr,2,Absent,-15,144.8333333,Northern Pama-Nyungan,Pama-Nyungan,Simple Clauses
hai,Haida,2,Absent,53,-132,Haida,Haida,Simple Clauses
hlu,Halkomelem (Upriver),1,Present,49.25,-121.9166667,Central Salish,Salishan,Simple Clauses
hmr,Hamer,1,Present,5,36.5,South Omotic,Afro-Asiatic,Simple Clauses
ham,Hamtai,2,Absent,-7.5,146.25,Nuclear Angan,Trans-New Guinea,Simple Clauses
hat,Hatam,2,Absent,-1,134,Hatim-Mansim,Hatim-Mansim,Simple Clauses
hau,Hausa,1,Present,12,7,West Chadic,Afro-Asiatic,Simple Clauses
heb,Hebrew (Modern),1,Present,31.5,34.83333333,Semitic,Afro-Asiatic,Simple Clauses
hin,Hindi,1,Present,25,77,Indic,Indo-European,Simple Clauses
hix,Hixkaryana,1,Present,-1,-59,Cariban,Cariban,Simple Clauses
hmo,Hmong Njua,1,Present,28,105,Hmongic,Hmong-Mien,Simple Clauses
hua,Hua,2,Absent,-6.333333333,145.3333333,Siane-Yagaria,Trans-New Guinea,Simple Clauses
hmu,Huitoto (Muinane),1,Present,-2.416666667,-71,Witoto,Witotoan,Simple Clauses
hun,Hungarian,1,Present,47,20,Ugric,Uralic,Simple Clauses
hzb,Hunzib,2,Absent,42.16666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Simple Clauses
igb,Igbo,2,Absent,6,7.333333333,Igboid,Niger-Congo,Simple Clauses
ijo,Ijo (Kolokuma),1,Present,4.916666667,5.666666667,Ijoid,Ijoid,Simple Clauses
ika,Ika,2,Absent,10.66666667,-73.75,Arhuacic,Chibchan,Simple Clauses
imo,Imonda,2,Absent,-3.333333333,141.1666667,Border,Border,Simple Clauses
ind,Indonesian,1,Present,0,106,Malayo-Sumbawan,Austronesian,Simple Clauses
ing,Ingush,2,Absent,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,Simple Clauses
iqu,Iquito,2,Absent,-3.25,-74,Zaparoan,Zaparoan,Simple Clauses
irq,Iraqw,1,Present,-4,35.5,Southern Cushitic,Afro-Asiatic,Simple Clauses
iri,Irish,1,Present,53,-8,Celtic,Indo-European,Simple Clauses
ita,Italian,1,Present,43,12,Romance,Indo-European,Simple Clauses
jak,Jakaltek,1,Present,15.66666667,-91.66666667,Mayan,Mayan,Simple Clauses
jpn,Japanese,1,Present,37,140,Japanese,Japanese,Simple Clauses
jaq,Jaqaru,2,Absent,-13,-76,Aymaran,Aymaran,Simple Clauses
juh,Ju|'hoan,2,Absent,-19,21,Ju-Kung,Kxa,Simple Clauses
kgu,Kalkatungu,2,Absent,-21,139.5,Northern Pama-Nyungan,Pama-Nyungan,Simple Clauses
knd,Kannada,1,Present,14,76,Dravidian,Dravidian,Simple Clauses
knr,Kanuri,1,Present,12,13,Western Saharan,Saharan,Simple Clauses
kpm,Kapampangan,2,Absent,15.33333333,120.5,Central Luzon,Austronesian,Simple Clauses
kna,Karitiâna,1,Present,-9.5,-64,Arikem,Tupian,Simple Clauses
krk,Karok,1,Present,41.66666667,-123,Karok,Hokan,Simple Clauses
kas,Kashmiri,1,Present,34,76,Indic,Indo-European,Simple Clauses
kws,Kawaiisu,1,Present,36,-117.5,Northern Uto-Aztecan,Uto-Aztecan,Simple Clauses
kyl,Kayah Li (Eastern),2,Absent,19,97.5,Karen,Sino-Tibetan,Simple Clauses
kay,Kayardild,1,Present,-17.05,139.5,Tangkic,Tangkic,Simple Clauses
ker,Kera,2,Absent,9.833333333,15.08333333,East Chadic,Afro-Asiatic,Simple Clauses
ket,Ket,1,Present,64,87,Yeniseian,Yeniseian,Simple Clauses
kew,Kewa,2,Absent,-6.5,143.8333333,Enga_Kewa-Huli,Trans-New Guinea,Simple Clauses
kha,Khalkha,1,Present,47,105,Mongolic,Altaic,Simple Clauses
khs,Khasi,2,Absent,25.5,92,Khasian,Austro-Asiatic,Simple Clauses
khm,Khmer,2,Absent,12.5,105,Khmer,Austro-Asiatic,Simple Clauses
kmu,Khmu',2,Absent,21,102,Khmuic,Austro-Asiatic,Simple Clauses
klv,Kilivila,2,Absent,-8.5,151.0833333,Oceanic,Austronesian,Simple Clauses
kio,Kiowa,2,Absent,37,-99,Kiowa-Tanoan,Kiowa-Tanoan,Simple Clauses
krb,Kiribati,1,Present,1.333333333,173,Oceanic,Austronesian,Simple Clauses
kis,Kisi,1,Present,8.833333333,-10.16666667,Southern Mel,Niger-Congo,Simple Clauses
koa,Koasati,1,Present,34.83333333,-85.16666667,Muskogean,Muskogean,Simple Clauses
kob,Kobon,2,Absent,-5.166666667,144.3333333,Kalam-Kobon,Trans-New Guinea,Simple Clauses
kom,Komo,2,Absent,8.75,33.75,Koman,Koman,Simple Clauses
kon,Kongo,1,Present,-5,15,Bantu,Niger-Congo,Simple Clauses
kjo,Konjo,2,Absent,-5.466666667,120.3333333,South Sulawesi,Austronesian,Simple Clauses
kor,Korean,1,Present,37.5,128,Korean,Korean,Simple Clauses
kfe,Koromfe,2,Absent,14.25,-0.916666667,Koromfe,Niger-Congo,Simple Clauses
kos,Kosraean,1,Present,5.3,163,Oceanic,Austronesian,Simple Clauses
kch,Koyra Chiini,1,Present,17,-3,Songhay,Songhay,Simple Clauses
kse,Koyraboro Senni,1,Present,16,0,Songhay,Songhay,Simple Clauses
kro,Krongo,1,Present,10.5,30,Kadugli,Kadu,Simple Clauses
kuk,Kukú,1,Present,5.833333333,31.66666667,Western Nilotic,Eastern Sudanic,Simple Clauses
knm,Kunama,1,Present,14.5,37,Kunama,Kunama,Simple Clauses
krd,Kurdish (Central),1,Present,36,44,Iranian,Indo-European,Simple Clauses
kut,Kutenai,1,Present,49.5,-116,Kutenai,Kutenai,Simple Clauses
kwz,Kwaza,2,Absent,-12.58333333,-60.66666667,Kwaza,Kwaza,Simple Clauses
lad,Ladakhi,2,Absent,34,78,Bodic,Sino-Tibetan,Simple Clauses
lah,Lahu,2,Absent,20,98.16666667,Burmese-Lolo,Sino-Tibetan,Simple Clauses
lak,Lak,2,Absent,42.16666667,47.16666667,Lak,Nakh-Daghestanian,Simple Clauses
lkt,Lakhota,2,Absent,43.83333333,-101.8333333,Mississippi Valley Siouan,Siouan,Simple Clauses
lan,Lango,2,Absent,2.166666667,33,Western Nilotic,Eastern Sudanic,Simple Clauses
lat,Latvian,1,Present,57,24,Baltic,Indo-European,Simple Clauses
lav,Lavukaleve,2,Absent,-9.083333333,159.2,Lavukaleve,Solomons East Papuan,Simple Clauses
lel,Lele,2,Absent,9.083333333,15.58333333,East Chadic,Afro-Asiatic,Simple Clauses
lep,Lepcha,1,Present,27.16666667,88.5,Himalayish,Sino-Tibetan,Simple Clauses
lez,Lezgian,2,Absent,41.66666667,47.83333333,Lezgic,Nakh-Daghestanian,Simple Clauses
lim,Limbu,1,Present,27.16666667,87.75,Himalayish,Sino-Tibetan,Simple Clauses
ara,Lokono,1,Present,5.5,-55.16666667,Antillean Arawakan,Arawakan,Simple Clauses
kkv,Lusi,2,Absent,-5.583333333,149.6666667,Oceanic,Austronesian,Simple Clauses
